Quelle API du noyau utilise iproute2 la ou net-tools lit /proc ?	Netlink (socket AF_NETLINK, famille NETLINK_ROUTE) ; ss utilise sock_diag
Difference entre le flag UP et le flag LOWER_UP d'une interface ?	UP = etat administratif (interface allumee). LOWER_UP = porteuse physique presente. UP sans LOWER_UP = NO-CARRIER
RX errors contre RX dropped : que distinguent-ils ?	errors = trame abimee (CRC, cable, duplex). dropped = trame saine jetee par l'hote (buffer plein, VLAN inconnu, backlog)
Que casse-t-on en configurant 10.0.1.12/32 au lieu de 10.0.1.12/24 ?	La route connectee vers 10.0.1.0/24 n'est plus installee : plus aucun voisin du LAN, meme la passerelle, n'est joignable
Dans ip neigh, une entree STALE est-elle un probleme ?	Non : valide mais non confirmee recemment, le noyau l'utilise telle quelle. Les etats alarmants sont FAILED et INCOMPLETE persistant
Valeurs par defaut de gc_thresh1 / gc_thresh2 / gc_thresh3 de la table de voisinage ?	128 / 512 / 1024 ; au-dela : neighbour table overflow
Dans quel ordre le noyau choisit-il une route ?	1. longest prefix match  2. metrique la plus basse a prefixe egal  3. ECMP
Route 10.0.0.0/8 metric 10 et route 10.0.1.0/24 metric 500 : laquelle pour 10.0.1.77 ?	La /24, malgre sa metrique : le longest prefix match tranche avant toute metrique
Quelle commande donne la decision de routage reelle du noyau, regles comprises ?	ip route get <destination> (elle affiche aussi l'IP source qui sera choisie)
Sur un socket LISTEN, que representent Recv-Q et Send-Q dans ss ?	Recv-Q = accept queue courante (connexions etablies en attente d'accept). Send-Q = capacite max = min(backlog de listen, somaxconn)
Sur un socket ESTABLISHED, que representent Recv-Q et Send-Q ?	Recv-Q = octets recus non lus par l'application. Send-Q = octets envoyes non acquittes par le pair
Quel compteur nstat confirme un debordement d'accept queue ?	TcpExtListenOverflows (et TcpExtListenDrops)
Beaucoup de sockets CLOSE_WAIT sur ma machine : chez qui est le bug ?	Chez moi : mon application a recu un FIN et n'appelle jamais close(). Les descripteurs fuient jusqu'a EMFILE
Comment se calcule le debit affiche par le champ send de ss -ti ?	cwnd x mss x 8 / rtt
Ou tcpdump capture-t-il en reception par rapport a Netfilter ?	Avant Netfilter : on voit le paquet meme s'il va etre droppe, avec les adresses d'avant le DNAT
Ou tcpdump capture-t-il en emission par rapport au NAT ?	Apres POSTROUTING : les adresses affichees sont deja traduites par le SNAT/MASQUERADE
Quel filtre BPF n'attrape que les tentatives de connexion (SYN purs) ?	tcp[tcpflags] == tcp-syn
Snaplen par defaut de tcpdump ?	262144 octets (le paquet entier)
tcpdump affiche length 4344 sur une interface a MTU 1500 : pourquoi ?	GRO/TSO : la carte agrege ou segmente et tcpdump est du cote noyau de l'offload. ethtool -K eth0 gro off gso off tso off
Quels sont les 5 crochets Netfilter ?	PREROUTING, INPUT (LOCAL_IN), FORWARD, OUTPUT (LOCAL_OUT), POSTROUTING
Priorites des tables raw, conntrack, mangle, nat-dnat, filter, nat-snat ?	-300, -200, -150, -100, 0, +100
Pourquoi le DNAT est-il obligatoirement en PREROUTING ?	Il change la destination : il doit avoir lieu avant la decision de routage, sinon le noyau route vers la mauvaise cible
Pourquoi le SNAT est-il obligatoirement en POSTROUTING ?	Il change la source, et l'adresse a poser depend de l'interface de sortie, donc du routage deja effectue
